date,symbol,expiry,dte,iv,bid,ask,mid,underlying,oi,volume,is_call,strike
2024-01-03,AAPL,2024-02-05,33,0.3,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-03,AAPL,2024-02-05,33,0.3,1.9,2.1,2.0,175.0,500,2000,False,175
2024-01-03,AAPL,2024-03-06,63,0.32,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-03,AAPL,2024-03-06,63,0.32,1.9,2.1,2.0,175.0,500,2000,False,175
2024-01-04,AAPL,2024-02-06,33,0.3,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-04,AAPL,2024-02-06,33,0.3,1.9,2.1,2.0,175.0,500,2000,False,175
2024-01-04,AAPL,2024-03-07,63,0.32,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-04,AAPL,2024-03-07,63,0.32,1.9,2.1,2.0,175.0,500,2000,False,175
2024-01-05,AAPL,2024-02-07,33,0.3,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-05,AAPL,2024-02-07,33,0.3,1.9,2.1,2.0,175.0,500,2000,False,175
2024-01-05,AAPL,2024-03-08,63,0.32,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-05,AAPL,2024-03-08,63,0.32,1.9,2.1,2.0,175.0,500,2000,False,175
2024-01-08,AAPL,2024-02-10,33,0.3,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-08,AAPL,2024-02-10,33,0.3,1.9,2.1,2.0,175.0,500,2000,False,175
2024-01-08,AAPL,2024-03-11,63,0.32,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-08,AAPL,2024-03-11,63,0.32,1.9,2.1,2.0,175.0,500,2000,False,175
2024-01-09,AAPL,2024-02-11,33,0.3,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-09,AAPL,2024-02-11,33,0.3,1.9,2.1,2.0,175.0,500,2000,False,175
2024-01-09,AAPL,2024-03-12,63,0.32,1.9,2.1,2.0,175.0,500,2000,True,175
2024-01-09,AAPL,2024-03-12,63,0.32,1.9,2.1,2.0,175.0,500,2000,False,175
